Epochs [Qswap]:  15%|██████████████████████████████████▋                                                                                                                                                                                                    | 15/100 [01:41<09:35,  6.77s/it]
Epoch [55/100] - Loss: 2.6388, Accuracy: 0.9586
Eval - Loss: 0.2531, Accuracy: 0.9607
Epoch [56/100] - Loss: 2.6344, Accuracy: 0.9587
Eval - Loss: 0.2600, Accuracy: 0.9596
Epoch [57/100] - Loss: 2.6018, Accuracy: 0.9592
Eval - Loss: 0.2575, Accuracy: 0.9600
Epoch [58/100] - Loss: 2.6255, Accuracy: 0.9589
Eval - Loss: 0.2594, Accuracy: 0.9597
Epoch [59/100] - Loss: 2.6185, Accuracy: 0.9590
Eval - Loss: 0.2555, Accuracy: 0.9604
Epoch [60/100] - Loss: 2.6262, Accuracy: 0.9589
Eval - Loss: 0.2583, Accuracy: 0.9598
Epoch [61/100] - Loss: 2.6293, Accuracy: 0.9589
Eval - Loss: 0.2601, Accuracy: 0.9596
Epoch [62/100] - Loss: 2.6092, Accuracy: 0.9593
Eval - Loss: 0.2588, Accuracy: 0.9598
Epoch [63/100] - Loss: 2.6074, Accuracy: 0.9591
Eval - Loss: 0.2555, Accuracy: 0.9603
Epoch [64/100] - Loss: 2.6083, Accuracy: 0.9592
Eval - Loss: 0.2556, Accuracy: 0.9603
Epoch [65/100] - Loss: 2.5914, Accuracy: 0.9596
Eval - Loss: 0.2546, Accuracy: 0.9604
Epoch [66/100] - Loss: 2.5970, Accuracy: 0.9594
Eval - Loss: 0.2509, Accuracy: 0.9611
Epoch [67/100] - Loss: 2.5998, Accuracy: 0.9593
Eval - Loss: 0.2572, Accuracy: 0.9601
Epoch [68/100] - Loss: 2.6109, Accuracy: 0.9591
Eval - Loss: 0.2610, Accuracy: 0.9594
Epoch [69/100] - Loss: 2.6147, Accuracy: 0.9591
Eval - Loss: 0.2531, Accuracy: 0.9608
Epoch [70/100] - Loss: 2.5846, Accuracy: 0.9597
Eval - Loss: 0.2529, Accuracy: 0.9608
Epoch [71/100] - Loss: 2.6017, Accuracy: 0.9593
Eval - Loss: 0.2570, Accuracy: 0.9601
Epoch [72/100] - Loss: 2.6013, Accuracy: 0.9593
Eval - Loss: 0.2521, Accuracy: 0.9609
Epoch [73/100] - Loss: 2.6341, Accuracy: 0.9588
Eval - Loss: 0.2516, Accuracy: 0.9610
Epoch [74/100] - Loss: 2.6008, Accuracy: 0.9593
Eval - Loss: 0.2517, Accuracy: 0.9610
Epoch [75/100] - Loss: 2.5956, Accuracy: 0.9593
Eval - Loss: 0.2593, Accuracy: 0.9598
Epoch [76/100] - Loss: 2.5752, Accuracy: 0.9599
Eval - Loss: 0.2536, Accuracy: 0.9606
Epoch [77/100] - Loss: 2.6089, Accuracy: 0.9592
Eval - Loss: 0.2594, Accuracy: 0.9596
Epoch [78/100] - Loss: 2.5954, Accuracy: 0.9594
Eval - Loss: 0.2555, Accuracy: 0.9602
Epoch [79/100] - Loss: 2.5881, Accuracy: 0.9596
Eval - Loss: 0.2535, Accuracy: 0.9606
Epoch [80/100] - Loss: 2.5779, Accuracy: 0.9597
Eval - Loss: 0.2618, Accuracy: 0.9592
Epoch [81/100] - Loss: 2.6047, Accuracy: 0.9592
Eval - Loss: 0.2605, Accuracy: 0.9594
Epoch [82/100] - Loss: 2.6053, Accuracy: 0.9593
Eval - Loss: 0.2580, Accuracy: 0.9599
Epoch [83/100] - Loss: 2.5873, Accuracy: 0.9595
Eval - Loss: 0.2561, Accuracy: 0.9603
Epoch [84/100] - Loss: 2.5994, Accuracy: 0.9594
Eval - Loss: 0.2616, Accuracy: 0.9591
Epoch [85/100] - Loss: 2.5963, Accuracy: 0.9594
Eval - Loss: 0.2581, Accuracy: 0.9598
Epoch [86/100] - Loss: 2.5771, Accuracy: 0.9597
Eval - Loss: 0.2534, Accuracy: 0.9606
Epoch [87/100] - Loss: 2.5949, Accuracy: 0.9594
Eval - Loss: 0.2555, Accuracy: 0.9602
Epoch [88/100] - Loss: 2.5900, Accuracy: 0.9595
Eval - Loss: 0.2511, Accuracy: 0.9610
Epoch [89/100] - Loss: 2.5999, Accuracy: 0.9593
Eval - Loss: 0.2599, Accuracy: 0.9594
Epoch [90/100] - Loss: 2.5723, Accuracy: 0.9598
Eval - Loss: 0.2617, Accuracy: 0.9592
Epoch [91/100] - Loss: 2.5832, Accuracy: 0.9598
Eval - Loss: 0.2576, Accuracy: 0.9598
Epoch [92/100] - Loss: 2.6114, Accuracy: 0.9591
Eval - Loss: 0.2608, Accuracy: 0.9594
Epoch [93/100] - Loss: 2.5973, Accuracy: 0.9593
Eval - Loss: 0.2463, Accuracy: 0.9619
Epoch [94/100] - Loss: 2.6027, Accuracy: 0.9593
Eval - Loss: 0.2569, Accuracy: 0.9600
Epoch [95/100] - Loss: 2.5866, Accuracy: 0.9596
Eval - Loss: 0.2607, Accuracy: 0.9594
Epoch [96/100] - Loss: 2.5865, Accuracy: 0.9596
Eval - Loss: 0.2529, Accuracy: 0.9608
Epoch [97/100] - Loss: 2.5868, Accuracy: 0.9595
Eval - Loss: 0.2615, Accuracy: 0.9592
Epoch [98/100] - Loss: 2.5985, Accuracy: 0.9593
Eval - Loss: 0.2578, Accuracy: 0.9598
Epoch [99/100] - Loss: 2.6015, Accuracy: 0.9592
Eval - Loss: 0.2534, Accuracy: 0.9605
Epoch [100/100] - Loss: 2.5920, Accuracy: 0.9594
Eval - Loss: 0.2576, Accuracy: 0.9599
