Epochs [Qswap]:  15%|███████████████████████████████▊                                                                                                                                                                                    | 15/100 [00:15<01:24,  1.01it/s]
Epoch [1/100] - Loss: 23.0279, Accuracy: 0.0990
Eval - Loss: 2.3025, Accuracy: 0.1007
Epoch [2/100] - Loss: 23.0271, Accuracy: 0.1002
Eval - Loss: 2.3028, Accuracy: 0.0994
Epoch [3/100] - Loss: 23.0262, Accuracy: 0.0997
Eval - Loss: 2.3027, Accuracy: 0.0975
Epoch [4/100] - Loss: 23.0264, Accuracy: 0.1007
Eval - Loss: 2.3026, Accuracy: 0.0994
Epoch [5/100] - Loss: 23.0268, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.0971
Epoch [6/100] - Loss: 23.0266, Accuracy: 0.0994
Eval - Loss: 2.3027, Accuracy: 0.0942
Epoch [7/100] - Loss: 23.0262, Accuracy: 0.1007
Eval - Loss: 2.3026, Accuracy: 0.1032
Epoch [8/100] - Loss: 23.0266, Accuracy: 0.1001
Eval - Loss: 2.3027, Accuracy: 0.0983
Epoch [9/100] - Loss: 23.0259, Accuracy: 0.1011
Eval - Loss: 2.3027, Accuracy: 0.0977
Epoch [10/100] - Loss: 23.0264, Accuracy: 0.1007
Eval - Loss: 2.3027, Accuracy: 0.0975
Epoch [11/100] - Loss: 23.0260, Accuracy: 0.1005
Eval - Loss: 2.3025, Accuracy: 0.1017
Epoch [12/100] - Loss: 23.0261, Accuracy: 0.1001
Eval - Loss: 2.3026, Accuracy: 0.0990
Epoch [13/100] - Loss: 23.0264, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.0995
Epoch [14/100] - Loss: 23.0262, Accuracy: 0.0993
Eval - Loss: 2.3026, Accuracy: 0.0988
Epoch [15/100] - Loss: 23.0260, Accuracy: 0.1008
Eval - Loss: 2.3027, Accuracy: 0.1008
Epoch [16/100] - Loss: 23.0263, Accuracy: 0.0998
Eval - Loss: 2.3027, Accuracy: 0.0994
Epoch [17/100] - Loss: 23.0260, Accuracy: 0.0996
Eval - Loss: 2.3025, Accuracy: 0.1048
Epoch [18/100] - Loss: 23.0262, Accuracy: 0.1006
Eval - Loss: 2.3025, Accuracy: 0.1025
Epoch [19/100] - Loss: 23.0258, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.1000
Epoch [20/100] - Loss: 23.0262, Accuracy: 0.1002
Eval - Loss: 2.3025, Accuracy: 0.1033
Epoch [21/100] - Loss: 23.0263, Accuracy: 0.1009
Eval - Loss: 2.3027, Accuracy: 0.0986
Epoch [22/100] - Loss: 23.0262, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.1011
Epoch [23/100] - Loss: 23.0261, Accuracy: 0.0999
Eval - Loss: 2.3027, Accuracy: 0.0998
Epoch [24/100] - Loss: 23.0259, Accuracy: 0.1005
Eval - Loss: 2.3026, Accuracy: 0.1027
Epoch [25/100] - Loss: 23.0262, Accuracy: 0.1000
Eval - Loss: 2.3026, Accuracy: 0.0994
Epoch [26/100] - Loss: 23.0260, Accuracy: 0.0993
Eval - Loss: 2.3026, Accuracy: 0.0962
Epoch [27/100] - Loss: 23.0260, Accuracy: 0.0995
Eval - Loss: 2.3027, Accuracy: 0.1001
Epoch [28/100] - Loss: 23.0261, Accuracy: 0.0997
Eval - Loss: 2.3026, Accuracy: 0.1018
Epoch [29/100] - Loss: 23.0261, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.0988
Epoch [30/100] - Loss: 23.0262, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.0992
Epoch [31/100] - Loss: 23.0261, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.1009
Epoch [32/100] - Loss: 23.0260, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.0994
Epoch [33/100] - Loss: 23.0259, Accuracy: 0.0993
Eval - Loss: 2.3026, Accuracy: 0.0972
Epoch [34/100] - Loss: 23.0258, Accuracy: 0.1011
Eval - Loss: 2.3026, Accuracy: 0.0992
Epoch [35/100] - Loss: 23.0261, Accuracy: 0.1004
Eval - Loss: 2.3027, Accuracy: 0.0997
Epoch [36/100] - Loss: 23.0260, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.1025
Epoch [37/100] - Loss: 23.0260, Accuracy: 0.1012
Eval - Loss: 2.3026, Accuracy: 0.0992
Epoch [38/100] - Loss: 23.0261, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.1001
Epoch [39/100] - Loss: 23.0262, Accuracy: 0.0993
Eval - Loss: 2.3026, Accuracy: 0.0998
Epoch [40/100] - Loss: 23.0259, Accuracy: 0.1007
Eval - Loss: 2.3026, Accuracy: 0.1009
Epoch [41/100] - Loss: 23.0260, Accuracy: 0.1006
Eval - Loss: 2.3026, Accuracy: 0.1001
Epoch [42/100] - Loss: 23.0262, Accuracy: 0.0988
Eval - Loss: 2.3026, Accuracy: 0.1004
Epoch [43/100] - Loss: 23.0259, Accuracy: 0.1000
Eval - Loss: 2.3026, Accuracy: 0.0993
Epoch [44/100] - Loss: 23.0260, Accuracy: 0.1007
Eval - Loss: 2.3026, Accuracy: 0.1021
Epoch [45/100] - Loss: 23.0259, Accuracy: 0.1008
Eval - Loss: 2.3026, Accuracy: 0.0994
Epoch [46/100] - Loss: 23.0261, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.0985
Epoch [47/100] - Loss: 23.0262, Accuracy: 0.0989
Eval - Loss: 2.3026, Accuracy: 0.0998
Epoch [48/100] - Loss: 23.0259, Accuracy: 0.1019
Eval - Loss: 2.3025, Accuracy: 0.1032
Epoch [49/100] - Loss: 23.0260, Accuracy: 0.1007
Eval - Loss: 2.3026, Accuracy: 0.1020
Epoch [50/100] - Loss: 23.0262, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.0983
Epoch [51/100] - Loss: 23.0260, Accuracy: 0.0995
Eval - Loss: 2.3025, Accuracy: 0.1026
Epoch [52/100] - Loss: 23.0261, Accuracy: 0.0990
Eval - Loss: 2.3026, Accuracy: 0.0995
Epoch [53/100] - Loss: 23.0260, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.1021
Epoch [54/100] - Loss: 23.0260, Accuracy: 0.1001
Eval - Loss: 2.3026, Accuracy: 0.0985
Epoch [55/100] - Loss: 23.0262, Accuracy: 0.0992
Eval - Loss: 2.3026, Accuracy: 0.0991
Epoch [56/100] - Loss: 23.0259, Accuracy: 0.0997
Eval - Loss: 2.3026, Accuracy: 0.1003
Epoch [57/100] - Loss: 23.0259, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.1009
Epoch [58/100] - Loss: 23.0261, Accuracy: 0.0992
Eval - Loss: 2.3026, Accuracy: 0.0991
Epoch [59/100] - Loss: 23.0260, Accuracy: 0.0991
Eval - Loss: 2.3026, Accuracy: 0.1010
Epoch [60/100] - Loss: 23.0259, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.1009
Epoch [61/100] - Loss: 23.0259, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.1011
Epoch [62/100] - Loss: 23.0258, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.0993
Epoch [63/100] - Loss: 23.0259, Accuracy: 0.1006
Eval - Loss: 2.3026, Accuracy: 0.1013
Epoch [64/100] - Loss: 23.0261, Accuracy: 0.1009
Eval - Loss: 2.3027, Accuracy: 0.0990
Epoch [65/100] - Loss: 23.0259, Accuracy: 0.1006
Eval - Loss: 2.3025, Accuracy: 0.0997
Epoch [66/100] - Loss: 23.0260, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.0992
Epoch [67/100] - Loss: 23.0257, Accuracy: 0.1016
Eval - Loss: 2.3026, Accuracy: 0.1018
Epoch [68/100] - Loss: 23.0262, Accuracy: 0.0996
Eval - Loss: 2.3026, Accuracy: 0.1014
Epoch [69/100] - Loss: 23.0259, Accuracy: 0.1001
Eval - Loss: 2.3026, Accuracy: 0.0998
Epoch [70/100] - Loss: 23.0259, Accuracy: 0.0992
Eval - Loss: 2.3026, Accuracy: 0.0982
Epoch [71/100] - Loss: 23.0259, Accuracy: 0.0996
Eval - Loss: 2.3025, Accuracy: 0.1009
Epoch [72/100] - Loss: 23.0261, Accuracy: 0.1001
Eval - Loss: 2.3026, Accuracy: 0.1037
Epoch [73/100] - Loss: 23.0259, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.0996
Epoch [74/100] - Loss: 23.0260, Accuracy: 0.0988
Eval - Loss: 2.3026, Accuracy: 0.0995
Epoch [75/100] - Loss: 23.0260, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.1003
Epoch [76/100] - Loss: 23.0259, Accuracy: 0.1006
Eval - Loss: 2.3026, Accuracy: 0.0981
Epoch [77/100] - Loss: 23.0259, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.1036
Epoch [78/100] - Loss: 23.0258, Accuracy: 0.0993
Eval - Loss: 2.3026, Accuracy: 0.1017
Epoch [79/100] - Loss: 23.0258, Accuracy: 0.1009
Eval - Loss: 2.3026, Accuracy: 0.1023
Epoch [80/100] - Loss: 23.0259, Accuracy: 0.1007
Eval - Loss: 2.3026, Accuracy: 0.1025
Epoch [81/100] - Loss: 23.0260, Accuracy: 0.0990
Eval - Loss: 2.3026, Accuracy: 0.1004
Epoch [82/100] - Loss: 23.0258, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.0970
Epoch [83/100] - Loss: 23.0258, Accuracy: 0.0996
Eval - Loss: 2.3026, Accuracy: 0.1018
Epoch [84/100] - Loss: 23.0258, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.1029
Epoch [85/100] - Loss: 23.0259, Accuracy: 0.0996
Eval - Loss: 2.3026, Accuracy: 0.0989
Epoch [86/100] - Loss: 23.0259, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.1011
Epoch [87/100] - Loss: 23.0259, Accuracy: 0.0991
Eval - Loss: 2.3026, Accuracy: 0.0969
Epoch [88/100] - Loss: 23.0260, Accuracy: 0.0997
Eval - Loss: 2.3026, Accuracy: 0.0990
Epoch [89/100] - Loss: 23.0259, Accuracy: 0.0997
Eval - Loss: 2.3026, Accuracy: 0.1008
Epoch [90/100] - Loss: 23.0259, Accuracy: 0.0990
Eval - Loss: 2.3026, Accuracy: 0.1000
Epoch [91/100] - Loss: 23.0259, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.1011
Epoch [92/100] - Loss: 23.0259, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.0987
Epoch [93/100] - Loss: 23.0259, Accuracy: 0.0995
Eval - Loss: 2.3026, Accuracy: 0.1012
Epoch [94/100] - Loss: 23.0258, Accuracy: 0.1009
Eval - Loss: 2.3026, Accuracy: 0.1007
Epoch [95/100] - Loss: 23.0259, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.1004
Epoch [96/100] - Loss: 23.0258, Accuracy: 0.0998
Eval - Loss: 2.3026, Accuracy: 0.1031
Epoch [97/100] - Loss: 23.0259, Accuracy: 0.0988
Eval - Loss: 2.3025, Accuracy: 0.1003
Epoch [98/100] - Loss: 23.0258, Accuracy: 0.0989
Eval - Loss: 2.3026, Accuracy: 0.1017
Epoch [99/100] - Loss: 23.0259, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.1023
Epoch [100/100] - Loss: 23.0259, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.0980
