Epochs [Qswap]:  15%|███████████████████████████████▊                                                                                                                                                                                    | 15/100 [00:14<01:22,  1.03it/s]
Epoch [1/100] - Loss: 23.0288, Accuracy: 0.0998
Eval - Loss: 2.3029, Accuracy: 0.1013
Epoch [2/100] - Loss: 23.0267, Accuracy: 0.1007
Eval - Loss: 2.3027, Accuracy: 0.1043
Epoch [3/100] - Loss: 23.0266, Accuracy: 0.0999
Eval - Loss: 2.3027, Accuracy: 0.0982
Epoch [4/100] - Loss: 23.0265, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.0984
Epoch [5/100] - Loss: 23.0260, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.0992
Epoch [6/100] - Loss: 23.0265, Accuracy: 0.0999
Eval - Loss: 2.3027, Accuracy: 0.0976
Epoch [7/100] - Loss: 23.0260, Accuracy: 0.1013
Eval - Loss: 2.3026, Accuracy: 0.1011
Epoch [8/100] - Loss: 23.0262, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.0998
Epoch [9/100] - Loss: 23.0264, Accuracy: 0.0990
Eval - Loss: 2.3027, Accuracy: 0.0993
Epoch [10/100] - Loss: 23.0264, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.1020
Epoch [11/100] - Loss: 23.0262, Accuracy: 0.0996
Eval - Loss: 2.3027, Accuracy: 0.1010
Epoch [12/100] - Loss: 23.0262, Accuracy: 0.1000
Eval - Loss: 2.3026, Accuracy: 0.1014
Epoch [13/100] - Loss: 23.0261, Accuracy: 0.0997
Eval - Loss: 2.3027, Accuracy: 0.0993
Epoch [14/100] - Loss: 23.0265, Accuracy: 0.0993
Eval - Loss: 2.3026, Accuracy: 0.0999
Epoch [15/100] - Loss: 23.0261, Accuracy: 0.1010
Eval - Loss: 2.3028, Accuracy: 0.0936
Epoch [16/100] - Loss: 23.0263, Accuracy: 0.0989
Eval - Loss: 2.3026, Accuracy: 0.0974
Epoch [17/100] - Loss: 23.0261, Accuracy: 0.0997
Eval - Loss: 2.3025, Accuracy: 0.1027
Epoch [18/100] - Loss: 23.0259, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.1000
Epoch [19/100] - Loss: 23.0259, Accuracy: 0.1015
Eval - Loss: 2.3026, Accuracy: 0.1001
Epoch [20/100] - Loss: 23.0260, Accuracy: 0.1014
Eval - Loss: 2.3027, Accuracy: 0.0968
Epoch [21/100] - Loss: 23.0261, Accuracy: 0.0989
Eval - Loss: 2.3026, Accuracy: 0.1003
