2026-02-27 02:44:43,627 INFO    MainThread:1469736 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-27 02:44:43,628 INFO    MainThread:1469736 [wandb_setup.py:_flush():81] Configure stats pid to 1469736
2026-02-27 02:44:43,628 INFO    MainThread:1469736 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-27 02:44:43,628 INFO    MainThread:1469736 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /gpfs/home1/aiphw227/Delay_RNN/code/wandb/run-20260227_024443-Transformer_Transformer_Qswap_2_1772127883.0782666/logs/debug.log
2026-02-27 02:44:43,628 INFO    MainThread:1469736 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /gpfs/home1/aiphw227/Delay_RNN/code/wandb/run-20260227_024443-Transformer_Transformer_Qswap_2_1772127883.0782666/logs/debug-internal.log
2026-02-27 02:44:43,628 INFO    MainThread:1469736 [wandb_init.py:init():844] calling init triggers
2026-02-27 02:44:43,628 INFO    MainThread:1469736 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'seed': 2, 'num_epochs': 100, 'batch_size': 512, 'num_workers': 0, 'lr': 0.001, 'use_lr_scheduler': True, 'use_wandb': True, 'wandb': {'entity': 'CIDA', 'group_name': 'Transformer'}, 'model_args': {'num_layers': 2, 'hidden_size': 256}, 'dataset': {'_target_': 'datasets.Qswap.Qswap', 'one_hot_dim': 10, 'min_seq_len': 5, 'max_seq_len': 10}, 'model': {'_target_': 'models.Transformer.Transformer', 'nhead': 4, 'encoding_method': 'positional'}, '_wandb': {}}
2026-02-27 02:44:43,628 INFO    MainThread:1469736 [wandb_init.py:init():892] starting backend
2026-02-27 02:44:43,885 INFO    MainThread:1469736 [wandb_init.py:init():895] sending inform_init request
2026-02-27 02:44:43,889 INFO    MainThread:1469736 [wandb_init.py:init():903] backend started and connected
2026-02-27 02:44:43,890 INFO    MainThread:1469736 [wandb_init.py:init():973] updated telemetry
2026-02-27 02:44:43,891 INFO    MainThread:1469736 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-27 02:44:45,119 INFO    MainThread:1469736 [wandb_init.py:init():1042] starting run threads in backend
2026-02-27 02:44:45,176 INFO    MainThread:1469736 [wandb_run.py:_console_start():2524] atexit reg
2026-02-27 02:44:45,176 INFO    MainThread:1469736 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-27 02:44:45,176 INFO    MainThread:1469736 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-27 02:44:45,176 INFO    MainThread:1469736 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-27 02:44:45,179 INFO    MainThread:1469736 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-27 02:46:11,210 INFO    wandb-AsyncioManager-main:1469736 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-27 02:46:11,210 INFO    wandb-AsyncioManager-main:1469736 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
